Labels,Title,State,Date,URL,Author
,Ability to write hostboot scratch registers from obmc,open,2016-10-06,https://github.com/openbmc/openbmc/issues/649,geissonator
,"Witherspoon ineventory, gpio, and sensor scrub",closed,2016-10-06,https://github.com/openbmc/openbmc/issues/648,geissonator
,Ensure power on code works with Witherspoon,open,2016-10-06,https://github.com/openbmc/openbmc/issues/647,geissonator
Epic,Witherspoon Power-On,open,2016-10-06,https://github.com/openbmc/openbmc/issues/646,williamspatrick
,"[Barreleye VERSION=""v1.99.0-161""] Valid MAC address is not taken while setting network override setting",open,2016-10-06,https://github.com/openbmc/openbmc/issues/645,rahulmah
,"[Barreleye VERSION=""v1.99.0-161""] IPMItool command to set network override setting fails",open,2016-10-06,https://github.com/openbmc/openbmc/issues/644,rahulmah
,settings_manager KeyError: 'org.openbmc.settings.Host' when booting host,open,2016-10-06,https://github.com/openbmc/openbmc/issues/643,shenki
observation,"[Barreleye VERSION=""v1.99.0-161""] Events not purged after CLEAR request Succeed",closed,2016-10-06,https://github.com/openbmc/openbmc/issues/642,gkeishin
,sync_inventory_items.py[858]: NameError: name 'os' is not defined,closed,2016-10-06,https://github.com/openbmc/openbmc/issues/641,geissonator
,Master no longer builds on ppc64le - hang on gobject-introspection build,open,2016-10-06,https://github.com/openbmc/openbmc/issues/640,geissonator
,Please bump linux-obmc ,closed,2016-10-05,https://github.com/openbmc/openbmc/issues/639,GHF
,Create settingsd first-level categories dynamically based on inventory object.,closed,2016-10-05,https://github.com/openbmc/openbmc/issues/638,williamspatrick
,Witherspoon does not build,closed,2016-10-05,https://github.com/openbmc/openbmc/issues/637,geissonator
,Firestone and Garrison failing to build,closed,2016-10-05,https://github.com/openbmc/openbmc/issues/636,geissonator
prio_high,"[Barreleye VERSION=""v1.99.0-152"" ] DNS ZeroConf  avahi-daemon.service startup failure",open,2016-10-05,https://github.com/openbmc/openbmc/issues/635,gkeishin
duplicate,"[Barreleye VERSION=""v1.99.0-152"" ] Inventory ERROR (name_properties) and Partition 'BMC_INV' not found",closed,2016-10-05,https://github.com/openbmc/openbmc/issues/634,gkeishin
